Number of nodes=8
Number of samples=10000
Cut of limit used=0.001
total_score_pc=-512605.0311903926
total_score_mmhc=-474291.4834776707
total_score_greedySP=-417159.3111172738
total_score_ske=-483556.0968615903
total_score_true=-409320.99161093426
shd dist pc to true=[21, 20, 23, 14, 21, 24, 21, 18, 24, 19, 17, 22, 22, 22, 20, 26, 25, 19, 22, 26, 25, 21, 22, 21, 25, 22, 21, 19, 20, 22, 19, 16, 22, 20, 25, 21, 22, 20, 26, 21, 23, 22, 25, 20, 19, 15, 25, 25, 23, 16, 21, 25, 23, 27, 18, 19, 19, 20, 20, 22, 26, 17, 22, 21, 15, 20, 22, 23, 19, 22, 16, 21, 19, 16, 19, 24, 24, 18, 20, 25, 19, 16, 21, 26, 21, 17, 20, 20, 21, 25, 21, 22, 24, 22, 19, 21, 24, 21, 21, 24]
shd dist mmhc to true=[25, 23, 23, 14, 20, 19, 19, 22, 23, 20, 25, 25, 24, 25, 20, 23, 21, 23, 25, 26, 28, 12, 23, 21, 25, 26, 19, 15, 23, 24, 19, 15, 20, 21, 25, 18, 23, 17, 26, 23, 15, 25, 23, 21, 20, 19, 27, 24, 24, 21, 22, 22, 18, 24, 25, 19, 19, 20, 25, 21, 23, 17, 19, 20, 20, 22, 22, 22, 22, 23, 15, 24, 17, 15, 19, 26, 22, 22, 18, 25, 16, 15, 20, 22, 20, 17, 23, 17, 20, 24, 19, 22, 25, 22, 20, 22, 20, 22, 24, 24]
shd dist greedySP to true=[26, 18, 20, 17, 15, 15, 20, 18, 21, 19, 19, 12, 25, 18, 23, 25, 22, 19, 20, 25, 24, 23, 20, 19, 22, 20, 23, 15, 19, 19, 21, 23, 12, 22, 21, 13, 19, 25, 25, 16, 20, 20, 22, 20, 23, 24, 18, 17, 26, 17, 15, 21, 18, 18, 27, 22, 16, 17, 14, 24, 16, 11, 16, 21, 21, 22, 20, 24, 20, 22, 14, 17, 16, 14, 22, 26, 25, 16, 18, 20, 24, 18, 19, 26, 17, 15, 21, 14, 18, 23, 20, 19, 24, 17, 11, 17, 24, 24, 17, 22]
shd dist ske to true=[24, 21, 24, 21, 21, 21, 21, 22, 23, 17, 24, 25, 25, 24, 19, 26, 24, 21, 24, 27, 25, 20, 21, 21, 25, 26, 22, 17, 18, 20, 21, 15, 18, 21, 23, 23, 22, 16, 26, 18, 19, 23, 25, 21, 18, 18, 24, 25, 24, 18, 22, 22, 19, 27, 18, 20, 17, 20, 23, 20, 25, 15, 21, 21, 19, 21, 23, 22, 20, 22, 18, 24, 15, 12, 18, 24, 26, 18, 16, 22, 16, 18, 18, 22, 21, 15, 23, 19, 18, 18, 21, 22, 22, 22, 16, 20, 23, 21, 19, 23]

score_vector_pc=[-5001.260945080631, -5156.792980391113, -5948.2311260317565, -5442.197507331829, -5048.047504805037, -5098.70152493187, -4894.673682179969, -5105.889749966494, -5633.701243320304, -5191.200655351022, -5375.576462805984, -4730.828491094851, -5611.172809694299, -4883.186605726678, -5469.39272101126, -4984.641673108553, -5451.689423268386, -5053.8072479496695, -5305.995501346334, -5127.459347253784, -5777.15921291671, -4582.470547046546, -5088.35728257827, -5169.176101354082, -5154.109823501643, -4999.569294596678, -4868.30578654615, -5201.438218242902, -5370.458781077056, -4859.607920078395, -5047.213649185001, -4874.274523651814, -4826.114798138931, -4651.891503114683, -5729.398546958523, -5493.110395542204, -5324.0326574410365, -5621.616282982138, -5026.592549512071, -5499.588027484782, -5465.130288376921, -4954.388221748117, -5505.335857676431, -5098.685417961054, -4583.512472470151, -4567.661703871282, -5296.329926199568, -4933.741595987985, -5348.858290337881, -5210.8844754184365, -4932.032829436841, -4811.417271177898, -4889.362876926471, -5298.482470598221, -5073.778589840199, -4765.090873387244, -5416.907828848511, -4537.515095257746, -5767.107279972961, -4967.96203588581, -5380.849835149156, -4706.109272700283, -4963.802959608905, -4988.4872527539965, -4826.050527689076, -5168.756949573991, -4513.899300553605, -5208.742774559038, -4757.341183955121, -5594.711926479079, -5339.145591406854, -5054.826146550724, -4892.328999653161, -4986.497002138808, -4518.26267022698, -5735.476048226061, -6417.474489573916, -4837.830598674398, -4786.430499488792, -5452.264825950646, -4835.99717923199, -4860.73692700864, -4856.775961055824, -5467.975117220509, -5122.7922766083675, -5053.976937025086, -5413.479495832961, -4667.113050972903, -4961.625964800764, -5685.897330345183, -4749.248706987633, -5716.333692184817, -5219.85750151174, -4982.935355217641, -5072.721902810614, -5296.534140792589, -4732.730527899838, -5401.886160494415, -4660.611269774373, -4613.394331724796]

score_vector_mmhc=[-4436.03165161133, -4686.357352470962, -5243.502430374427, -4525.678931676097, -4632.372068605273, -4597.882103003226, -4641.277570108908, -4938.943501062835, -5517.16550882035, -4803.619709377709, -5190.480979779151, -4498.589912810333, -4700.1360894131985, -4864.94094995383, -4953.655963963491, -4903.762047405478, -5405.032192798932, -4766.988025951844, -5316.187287142364, -4737.421930798003, -5104.16252685086, -4287.106793152069, -4466.490713523701, -4722.853697931991, -4668.3033683060385, -4547.709831041873, -4655.220176912392, -4563.668131996406, -4438.6434665269335, -4931.514420251364, -4408.2799384017935, -4749.145071799641, -4442.04587926997, -4341.274363112574, -4523.702189680066, -5014.305897132614, -5037.464518197568, -5303.203780444192, -4895.064661269323, -5641.2756750965655, -4743.507764877362, -4607.292721118731, -5134.806552917998, -4451.197871845232, -4485.413293834785, -4380.12529495508, -4711.041433329492, -4552.3607928396395, -4984.295463057491, -4505.278269812943, -4506.507878622409, -4822.29003320383, -4403.533093005026, -5036.5840382137785, -4493.363621510819, -4625.156435949236, -4975.097111167035, -4551.362634605133, -5093.235095840601, -4482.15883611128, -5272.321604763941, -4274.49761138049, -5364.491872885503, -4524.90153074512, -4402.724675612558, -4829.226841693426, -4351.19029229161, -5153.104065050446, -4783.173557447846, -4644.391689955259, -4668.777014879979, -4702.63367734057, -4483.278454981953, -4415.895994810909, -4483.5496653825685, -5722.00843493215, -5238.992981774617, -4313.421305931405, -4891.225277588539, -4536.628311894843, -4370.859343794526, -4658.184523941713, -4356.673741243562, -5183.378997002884, -4846.102349845345, -4472.541345609128, -4763.196323262669, -4937.630753709769, -4607.487806777971, -4762.222254122023, -4712.015943113472, -5079.953358856149, -4637.87313709889, -4828.687004181043, -4382.927231812073, -4557.610006836375, -4945.9200852696695, -4865.4082973907125, -4491.932537650469, -4128.37402996492]

score_vector_greedySP=[-4079.3258763527674, -4372.248866200196, -4216.492165959367, -4174.335105931984, -4095.0033632048016, -4192.524415086796, -4097.423039403405, -4260.012564034493, -4218.55627566841, -4283.114851288702, -4142.0097439836845, -4166.390598791582, -4026.6348435684854, -4108.4637257186605, -4187.058199783337, -3961.079557405663, -4404.240096409141, -4075.8919577627985, -4118.526139736661, -4190.610752679794, -4082.6433991567737, -4129.32028547289, -4036.563147404423, -4382.434307588788, -4276.13375669046, -4268.328670666277, -4119.711006944012, -4122.055804064326, -4082.6125264884013, -4154.963120467385, -4395.991553064749, -4104.319914076778, -4080.3912937301247, -4208.317928603453, -4092.952090988475, -4334.425972299511, -4579.983123134322, -4089.2889706546202, -4223.396110310324, -4407.468026759501, -4075.8503516624005, -4060.5601793905685, -4073.5300281390714, -4240.4541161695815, -4137.827417954513, -4145.46213451006, -4038.1518240364217, -4078.216151635612, -4347.537037650812, -4306.617569848031, -4286.8138410924985, -4213.448065199966, -4188.813849130358, -4072.161206350481, -3957.5714002641926, -3973.3093787011435, -4233.80606696734, -4155.832786451396, -4203.453030212719, -4064.7125007849627, -4174.121137839429, -4100.814812268752, -4054.002438211877, -4131.987012951063, -4134.6394877025705, -4354.722349521106, -4152.888400769868, -4490.326572555773, -4109.567265349897, -4210.396043317635, -4054.0735135916443, -3973.1046860366127, -4207.139407744025, -3995.6108687030746, -3997.0949826414076, -4163.611400047161, -4079.3140887414957, -4143.910700614886, -4229.756759196192, -4102.688178914645, -4133.906322737868, -4353.999134355108, -4062.672502147124, -4274.400804903556, -4245.410252958374, -4435.171645208704, -4280.393834810955, -4196.580266798235, -4585.28530690279, -4274.141207275433, -4257.927002630241, -4183.091256902135, -4100.830492549412, -4144.550536783096, -4075.7062896753896, -4046.62943919645, -4009.5960960808843, -4317.581375074926, -3959.6680423337543, -3966.627117541881]
